table_name,year_value,year_unit,year_start_month,month,variable,commodity_element,market_segment,geographic_extent,value,unit
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2015/16,Marketing year,August,August,Price received by growers - equivalent on-tree returns,Lemons,All,United States,NA,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2015/16,Marketing year,August,September,Price received by growers - equivalent on-tree returns,Lemons,All,United States,31.78,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2015/16,Marketing year,August,October,Price received by growers - equivalent on-tree returns,Lemons,All,United States,34.31,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2015/16,Marketing year,August,November,Price received by growers - equivalent on-tree returns,Lemons,All,United States,30.74,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2015/16,Marketing year,August,December,Price received by growers - equivalent on-tree returns,Lemons,All,United States,25.25,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2015/16,Marketing year,August,January,Price received by growers - equivalent on-tree returns,Lemons,All,United States,23.96,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2015/16,Marketing year,August,February,Price received by growers - equivalent on-tree returns,Lemons,All,United States,22.3,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2015/16,Marketing year,August,March,Price received by growers - equivalent on-tree returns,Lemons,All,United States,24.93,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2015/16,Marketing year,August,April,Price received by growers - equivalent on-tree returns,Lemons,All,United States,25.09,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2015/16,Marketing year,August,May,Price received by growers - equivalent on-tree returns,Lemons,All,United States,31.67,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2015/16,Marketing year,August,June,Price received by growers - equivalent on-tree returns,Lemons,All,United States,30.43,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2015/16,Marketing year,August,July,Price received by growers - equivalent on-tree returns,Lemons,All,United States,28.37,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2016/17,Marketing year,August,August,Price received by growers - equivalent on-tree returns,Lemons,All,United States,NA,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2016/17,Marketing year,August,September,Price received by growers - equivalent on-tree returns,Lemons,All,United States,31.59,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2016/17,Marketing year,August,October,Price received by growers - equivalent on-tree returns,Lemons,All,United States,31.14,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2016/17,Marketing year,August,November,Price received by growers - equivalent on-tree returns,Lemons,All,United States,27.14,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2016/17,Marketing year,August,December,Price received by growers - equivalent on-tree returns,Lemons,All,United States,22.36,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2016/17,Marketing year,August,January,Price received by growers - equivalent on-tree returns,Lemons,All,United States,22.78,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2016/17,Marketing year,August,February,Price received by growers - equivalent on-tree returns,Lemons,All,United States,24.88,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2016/17,Marketing year,August,March,Price received by growers - equivalent on-tree returns,Lemons,All,United States,24.65,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2016/17,Marketing year,August,April,Price received by growers - equivalent on-tree returns,Lemons,All,United States,27.1,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2016/17,Marketing year,August,May,Price received by growers - equivalent on-tree returns,Lemons,All,United States,31.3,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2016/17,Marketing year,August,June,Price received by growers - equivalent on-tree returns,Lemons,All,United States,40.9,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2016/17,Marketing year,August,July,Price received by growers - equivalent on-tree returns,Lemons,All,United States,41.85,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2017/18,Marketing year,August,August,Price received by growers - equivalent on-tree returns,Lemons,All,United States,NA,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2017/18,Marketing year,August,September,Price received by growers - equivalent on-tree returns,Lemons,All,United States,29.58,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2017/18,Marketing year,August,October,Price received by growers - equivalent on-tree returns,Lemons,All,United States,25.49,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2017/18,Marketing year,August,November,Price received by growers - equivalent on-tree returns,Lemons,All,United States,28.32,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2017/18,Marketing year,August,December,Price received by growers - equivalent on-tree returns,Lemons,All,United States,30.84,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2017/18,Marketing year,August,January,Price received by growers - equivalent on-tree returns,Lemons,All,United States,30.17,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2017/18,Marketing year,August,February,Price received by growers - equivalent on-tree returns,Lemons,All,United States,23.65,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2017/18,Marketing year,August,March,Price received by growers - equivalent on-tree returns,Lemons,All,United States,20.72,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2017/18,Marketing year,August,April,Price received by growers - equivalent on-tree returns,Lemons,All,United States,18.2,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2017/18,Marketing year,August,May,Price received by growers - equivalent on-tree returns,Lemons,All,United States,21.73,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2017/18,Marketing year,August,June,Price received by growers - equivalent on-tree returns,Lemons,All,United States,29.14,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2017/18,Marketing year,August,July,Price received by growers - equivalent on-tree returns,Lemons,All,United States,40.34,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2018/19,Marketing year,August,August,Price received by growers - equivalent on-tree returns,Lemons,All,United States,50.41,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2018/19,Marketing year,August,September,Price received by growers - equivalent on-tree returns,Lemons,All,United States,53.26,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2018/19,Marketing year,August,October,Price received by growers - equivalent on-tree returns,Lemons,All,United States,41.45,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2018/19,Marketing year,August,November,Price received by growers - equivalent on-tree returns,Lemons,All,United States,31.97,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2018/19,Marketing year,August,December,Price received by growers - equivalent on-tree returns,Lemons,All,United States,26.48,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2018/19,Marketing year,August,January,Price received by growers - equivalent on-tree returns,Lemons,All,United States,21.79,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2018/19,Marketing year,August,February,Price received by growers - equivalent on-tree returns,Lemons,All,United States,15.77,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2018/19,Marketing year,August,March,Price received by growers - equivalent on-tree returns,Lemons,All,United States,15.59,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2018/19,Marketing year,August,April,Price received by growers - equivalent on-tree returns,Lemons,All,United States,13.38,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2018/19,Marketing year,August,May,Price received by growers - equivalent on-tree returns,Lemons,All,United States,16.55,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2018/19,Marketing year,August,June,Price received by growers - equivalent on-tree returns,Lemons,All,United States,19.43,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2018/19,Marketing year,August,July,Price received by growers - equivalent on-tree returns,Lemons,All,United States,22.12,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2019/20,Marketing year,August,August,Price received by growers - equivalent on-tree returns,Lemons,All,United States,28.42,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2019/20,Marketing year,August,September,Price received by growers - equivalent on-tree returns,Lemons,All,United States,28.66,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2019/20,Marketing year,August,October,Price received by growers - equivalent on-tree returns,Lemons,All,United States,30.34,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2019/20,Marketing year,August,November,Price received by growers - equivalent on-tree returns,Lemons,All,United States,26.42,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2019/20,Marketing year,August,December,Price received by growers - equivalent on-tree returns,Lemons,All,United States,22.48,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2019/20,Marketing year,August,January,Price received by growers - equivalent on-tree returns,Lemons,All,United States,16.17,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2019/20,Marketing year,August,February,Price received by growers - equivalent on-tree returns,Lemons,All,United States,14.35,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2019/20,Marketing year,August,March,Price received by growers - equivalent on-tree returns,Lemons,All,United States,10.59,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2019/20,Marketing year,August,April,Price received by growers - equivalent on-tree returns,Lemons,All,United States,10.72,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2019/20,Marketing year,August,May,Price received by growers - equivalent on-tree returns,Lemons,All,United States,14.66,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2019/20,Marketing year,August,June,Price received by growers - equivalent on-tree returns,Lemons,All,United States,19.74,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2019/20,Marketing year,August,July,Price received by growers - equivalent on-tree returns,Lemons,All,United States,20.54,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2020/21,Marketing year,August,August,Price received by growers - equivalent on-tree returns,Lemons,All,United States,21.5,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2020/21,Marketing year,August,September,Price received by growers - equivalent on-tree returns,Lemons,All,United States,21.85,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2020/21,Marketing year,August,October,Price received by growers - equivalent on-tree returns,Lemons,All,United States,24.41,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2020/21,Marketing year,August,November,Price received by growers - equivalent on-tree returns,Lemons,All,United States,25.48,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2020/21,Marketing year,August,December,Price received by growers - equivalent on-tree returns,Lemons,All,United States,23.2,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2020/21,Marketing year,August,January,Price received by growers - equivalent on-tree returns,Lemons,All,United States,21.98,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2020/21,Marketing year,August,February,Price received by growers - equivalent on-tree returns,Lemons,All,United States,19.3,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2020/21,Marketing year,August,March,Price received by growers - equivalent on-tree returns,Lemons,All,United States,20.69,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2020/21,Marketing year,August,April,Price received by growers - equivalent on-tree returns,Lemons,All,United States,20.1,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2020/21,Marketing year,August,May,Price received by growers - equivalent on-tree returns,Lemons,All,United States,25.82,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2020/21,Marketing year,August,June,Price received by growers - equivalent on-tree returns,Lemons,All,United States,29.83,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2020/21,Marketing year,August,July,Price received by growers - equivalent on-tree returns,Lemons,All,United States,30.69,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2021/22,Marketing year,August,August,Price received by growers - equivalent on-tree returns,Lemons,All,United States,25.87,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2021/22,Marketing year,August,September,Price received by growers - equivalent on-tree returns,Lemons,All,United States,28.56,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2021/22,Marketing year,August,October,Price received by growers - equivalent on-tree returns,Lemons,All,United States,25.72,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2021/22,Marketing year,August,November,Price received by growers - equivalent on-tree returns,Lemons,All,United States,22.35,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2021/22,Marketing year,August,December,Price received by growers - equivalent on-tree returns,Lemons,All,United States,19.81,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2021/22,Marketing year,August,January,Price received by growers - equivalent on-tree returns,Lemons,All,United States,18.13,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2021/22,Marketing year,August,February,Price received by growers - equivalent on-tree returns,Lemons,All,United States,13,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2021/22,Marketing year,August,March,Price received by growers - equivalent on-tree returns,Lemons,All,United States,14.09,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2021/22,Marketing year,August,April,Price received by growers - equivalent on-tree returns,Lemons,All,United States,12.63,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2021/22,Marketing year,August,May,Price received by growers - equivalent on-tree returns,Lemons,All,United States,11.84,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2021/22,Marketing year,August,June,Price received by growers - equivalent on-tree returns,Lemons,All,United States,11.6,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2021/22,Marketing year,August,July,Price received by growers - equivalent on-tree returns,Lemons,All,United States,9.06,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2022/23,Marketing year,August,August,Price received by growers - equivalent on-tree returns,Lemons,All,United States,11.94,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2022/23,Marketing year,August,September,Price received by growers - equivalent on-tree returns,Lemons,All,United States,13.72,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2022/23,Marketing year,August,October,Price received by growers - equivalent on-tree returns,Lemons,All,United States,18.02,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2022/23,Marketing year,August,November,Price received by growers - equivalent on-tree returns,Lemons,All,United States,17.24,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2022/23,Marketing year,August,December,Price received by growers - equivalent on-tree returns,Lemons,All,United States,14.81,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2022/23,Marketing year,August,January,Price received by growers - equivalent on-tree returns,Lemons,All,United States,13.85,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2022/23,Marketing year,August,February,Price received by growers - equivalent on-tree returns,Lemons,All,United States,12.63,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2022/23,Marketing year,August,March,Price received by growers - equivalent on-tree returns,Lemons,All,United States,12.01,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2022/23,Marketing year,August,April,Price received by growers - equivalent on-tree returns,Lemons,All,United States,14.05,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2022/23,Marketing year,August,May,Price received by growers - equivalent on-tree returns,Lemons,All,United States,14.65,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2022/23,Marketing year,August,June,Price received by growers - equivalent on-tree returns,Lemons,All,United States,16.08,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2022/23,Marketing year,August,July,Price received by growers - equivalent on-tree returns,Lemons,All,United States,17.33,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2023/24,Marketing year,August,August,Price received by growers - equivalent on-tree returns,Lemons,All,United States,27.96,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2023/24,Marketing year,August,September,Price received by growers - equivalent on-tree returns,Lemons,All,United States,35.13,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2023/24,Marketing year,August,October,Price received by growers - equivalent on-tree returns,Lemons,All,United States,37.54,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2023/24,Marketing year,August,November,Price received by growers - equivalent on-tree returns,Lemons,All,United States,30.34,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2023/24,Marketing year,August,December,Price received by growers - equivalent on-tree returns,Lemons,All,United States,22.26,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2023/24,Marketing year,August,January,Price received by growers - equivalent on-tree returns,Lemons,All,United States,15.69,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2023/24,Marketing year,August,February,Price received by growers - equivalent on-tree returns,Lemons,All,United States,14.04,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2023/24,Marketing year,August,March,Price received by growers - equivalent on-tree returns,Lemons,All,United States,12.3,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2023/24,Marketing year,August,April,Price received by growers - equivalent on-tree returns,Lemons,All,United States,11.13,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2023/24,Marketing year,August,May,Price received by growers - equivalent on-tree returns,Lemons,All,United States,16.38,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2023/24,Marketing year,August,June,Price received by growers - equivalent on-tree returns,Lemons,All,United States,22.42,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2023/24,Marketing year,August,July,Price received by growers - equivalent on-tree returns,Lemons,All,United States,22.16,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2024/25,Marketing year,August,August,Price received by growers - equivalent on-tree returns,Lemons,All,United States,27.85,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2024/25,Marketing year,August,September,Price received by growers - equivalent on-tree returns,Lemons,All,United States,28.48,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2024/25,Marketing year,August,October,Price received by growers - equivalent on-tree returns,Lemons,All,United States,22.4,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2024/25,Marketing year,August,November,Price received by growers - equivalent on-tree returns,Lemons,All,United States,18.16,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2024/25,Marketing year,August,December,Price received by growers - equivalent on-tree returns,Lemons,All,United States,25.59,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2024/25,Marketing year,August,January,Price received by growers - equivalent on-tree returns,Lemons,All,United States,15.15,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2024/25,Marketing year,August,February,Price received by growers - equivalent on-tree returns,Lemons,All,United States,11.41,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2024/25,Marketing year,August,March,Price received by growers - equivalent on-tree returns,Lemons,All,United States,13.12,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2024/25,Marketing year,August,April,Price received by growers - equivalent on-tree returns,Lemons,All,United States,13.12,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2024/25,Marketing year,August,May,Price received by growers - equivalent on-tree returns,Lemons,All,United States,13.53,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2024/25,Marketing year,August,June,Price received by growers - equivalent on-tree returns,Lemons,All,United States,19.42,dollars per box
"Table C-12--Lemons: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2024/25,Marketing year,August,July,Price received by growers - equivalent on-tree returns,Lemons,All,United States,25.8,dollars per box
"Table C-13--Oranges: Area bearing and yield per acre, by State, 1980/81 to date",1980/81,Marketing year,October,NA,Area bearing,Oranges,All,Florida,573.4,thousand acres
"Table C-13--Oranges: Area bearing and yield per acre, by State, 1980/81 to date",1980/81,Marketing year,October,NA,Yield,Oranges,All,Florida,13.52982,tons per acre
"Table C-13--Oranges: Area bearing and yield per acre, by State, 1980/81 to date",1980/81,Marketing year,September,NA,Area bearing,Oranges,All,California,182.7,thousand acres
"Table C-13--Oranges: Area bearing and yield per acre, by State, 1980/81 to date",1980/81,Marketing year,September,NA,Yield,Oranges,All,California,12,tons per acre
"Table C-13--Oranges: Area bearing and yield per acre, by State, 1980/81 to date",1980/81,Marketing year,October,NA,Area bearing,Oranges,All,Texas,25.3,thousand acres
"Table C-13--Oranges: Area bearing and yield per acre, by State, 1980/81 to date",1980/81,Marketing year,October,NA,Yield,Oranges,All,Texas,7.27273,tons per acre
"Table C-13--Oranges: Area bearing and yield per acre, by State, 1980/81 to date",1980/81,Marketing year,November,NA,Area bearing,Oranges,All,Arizona,13.2,thousand acres
"Table C-13--Oranges: Area bearing and yield per acre, by State, 1980/81 to date",1980/81,Marketing year,November,NA,Yield,Oranges,All,Arizona,7.42424,tons per acre
"Table C-13--Oranges: Area bearing and yield per acre, by State, 1980/81 to date",1980/81,Marketing year,September,NA,Area bearing,Oranges,All,United States,794.6,thousand acres
"Table C-13--Oranges: Area bearing and yield per acre, by State, 1980/81 to date",1980/81,Marketing year,September,NA,Yield,Oranges,All,United States,13.19784,tons per acre
"Table C-13--Oranges: Area bearing and yield per acre, by State, 1980/81 to date",1981/82,Marketing year,October,NA,Area bearing,Oranges,All,Florida,560.2,thousand acres
"Table C-13--Oranges: Area bearing and yield per acre, by State, 1980/81 to date",1981/82,Marketing year,October,NA,Yield,Oranges,All,Florida,10.10532,tons per acre
"Table C-13--Oranges: Area bearing and yield per acre, by State, 1980/81 to date",1981/82,Marketing year,September,NA,Area bearing,Oranges,All,California,180.2,thousand acres
"Table C-13--Oranges: Area bearing and yield per acre, by State, 1980/81 to date",1981/82,Marketing year,September,NA,Yield,Oranges,All,California,13.39354,tons per acre
"Table C-13--Oranges: Area bearing and yield per acre, by State, 1980/81 to date",1981/82,Marketing year,October,NA,Area bearing,Oranges,All,Texas,23.7,thousand acres
"Table C-13--Oranges: Area bearing and yield per acre, by State, 1980/81 to date",1981/82,Marketing year,October,NA,Yield,Oranges,All,Texas,10.63291,tons per acre
"Table C-13--Oranges: Area bearing and yield per acre, by State, 1980/81 to date",1981/82,Marketing year,November,NA,Area bearing,Oranges,All,Arizona,13.6,thousand acres
"Table C-13--Oranges: Area bearing and yield per acre, by State, 1980/81 to date",1981/82,Marketing year,November,NA,Yield,Oranges,All,Arizona,8.45588,tons per acre
"Table C-13--Oranges: Area bearing and yield per acre, by State, 1980/81 to date",1981/82,Marketing year,September,NA,Area bearing,Oranges,All,United States,777.7,thousand acres
"Table C-13--Oranges: Area bearing and yield per acre, by State, 1980/81 to date",1981/82,Marketing year,September,NA,Yield,Oranges,All,United States,9.77241,tons per acre
"Table C-13--Oranges: Area bearing and yield per acre, by State, 1980/81 to date",1982/83,Marketing year,October,NA,Area bearing,Oranges,All,Florida,536.8,thousand acres
"Table C-13--Oranges: Area bearing and yield per acre, by State, 1980/81 to date",1982/83,Marketing year,October,NA,Yield,Oranges,All,Florida,11.70268,tons per acre
"Table C-13--Oranges: Area bearing and yield per acre, by State, 1980/81 to date",1982/83,Marketing year,September,NA,Area bearing,Oranges,All,California,177.4,thousand acres
"Table C-13--Oranges: Area bearing and yield per acre, by State, 1980/81 to date",1982/83,Marketing year,September,NA,Yield,Oranges,All,California,8.72364,tons per acre
"Table C-13--Oranges: Area bearing and yield per acre, by State, 1980/81 to date",1982/83,Marketing year,October,NA,Area bearing,Oranges,All,Texas,24,thousand acres
"Table C-13--Oranges: Area bearing and yield per acre, by State, 1980/81 to date",1982/83,Marketing year,October,NA,Yield,Oranges,All,Texas,10.04167,tons per acre
